gene,ensembl,source,annotation_breast,annotation_io,programs,cell_lineages,program_states,marker_states,top_major,top3_majors,n_programs,pct_expressing,mean_lognorm,mean_counts,top_compartment,mean_Cancer,mean_Epithelial,mean_Immune,mean_Stroma
IL7R,ENSG00000168685,Breast+IO,T cells,T Cell;Survival;Memory,T/NK:naive_memory,T/NK,naive_memory,naive_memory,T_NK,"T_NK(3.625), Dendritic(1.388), B_cell(1.112)",1,24.3,1.225,0.639,Immune,0.19,0.168,2.152,0.464
IRF1,ENSG00000125347,IO,,,Myeloid/DC:ifn_response; Mast:ifn_response,Mast; Myeloid/DC,ifn_response,ifn_response,T_NK,"T_NK(1.999), Plasma(1.9), Dendritic(1.576)",2,32.0,1.386,0.666,Immune,1.374,1.394,1.737,0.829
IRF4,ENSG00000137265,IO,,T Cell;Regulatory,Myeloid/DC:cDC2; B/Plasma:plasma,B/Plasma; Myeloid/DC,cDC2; plasma,plasma; cDC2,Plasma,"Plasma(2.757), Dendritic(0.916), T_NK(0.52)",2,8.6,0.378,0.142,Immune,0.07,0.066,0.669,0.126
IRF8,ENSG00000140968,IO,,Dendritic Cell;Plasmacytoid,Myeloid/DC:pDC; Myeloid/DC:cDC1,Myeloid/DC,cDC1; pDC,pDC; cDC1,B_cell,"B_cell(2.659), Dendritic(2.474), Macrophage_Mono(1.82)",2,21.3,0.993,0.497,Immune,0.273,0.243,1.641,0.465
ITGAM,ENSG00000169896,Breast+IO,Myeloid cells,Monocyte;Granulocyte;Macrophage;Natural Killer Cell;T Cell,Myeloid/DC:core_macrophage,Myeloid/DC,core_macrophage,,Macrophage_Mono,"Macrophage_Mono(1.318), Dendritic(0.837), Mast(0.477)",1,9.0,0.369,0.148,Immune,0.332,0.422,0.527,0.133
ITGAX,ENSG00000140678,Breast+IO,Dendritic cells,,B/Plasma:atypical_B,B/Plasma,atypical_B,atypical_B,Dendritic,"Dendritic(3.008), Macrophage_Mono(2.96), Mast(0.99)",1,16.3,0.766,0.488,Immune,0.285,0.209,1.243,0.333
ITM2C,ENSG00000135916,Breast,B cells,,Myeloid/DC:pDC,Myeloid/DC,pDC,pDC,Plasma,"Plasma(3.538), Dendritic(1.681), B_cell(1.378)",1,26.0,1.141,0.57,Immune,0.91,1.008,1.408,0.882
JUN,ENSG00000177606,IO,,Proto-Oncogene,,,,,Myoepithelial,"Myoepithelial(3.559), Tumor(3.35), Endothelial(2.716)",0,44.2,2.061,1.709,Epithelial,3.35,3.559,1.328,2.358
JUP,ENSG00000173801,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.446), Tumor(2.283), Endothelial(0.515)",0,17.9,0.695,0.472,Epithelial,2.283,2.446,0.203,0.327
KARS,ENSG00000065427,Breast,Breast myoepithelial cells,,,,,,Myoepithelial,"Myoepithelial(1.537), Tumor(1.4), Endothelial(0.682)",0,19.3,0.727,0.279,Epithelial,1.4,1.537,0.572,0.486
